,spotify,key_and_mode
1049,spotify:track:5GLfhHxdwgMIuBLIunhEmZ,C minor
1050,spotify:track:2kO4olzqtQDVVhU501C8sz,E minor
1073,spotify:track:5n9kaB3z485r0CCGOewfB5,C minor
1076,spotify:track:5MkLc1pqtftK0358BleaB3,D# minor
1083,spotify:track:4y51ULA0qQqsvixapj6GTm,C minor
1085,spotify:track:3vonKLUhKtljODczvGgx81,D minor
1086,spotify:track:2eyxy9X87g8NMsgqQ64AHk,E minor
1088,spotify:track:2EHBH7Fed16oLRvLLqmFO6,B minor
1091,spotify:track:1zNkuOdsvLtQT76VQNhSHN,A minor
1116,spotify:track:3KY6wRhDB3g7FsUJeJxpwx,D# Major
1133,spotify:track:3NxJmQiNhMeN5X6XGXohqZ,G minor
1156,spotify:track:2G4xff7Kmj2TiDSQqVgpOL,E Major
1157,spotify:track:5TvRIdC0fXDXN232geEXEl,B minor
1159,spotify:track:5vQvVNxkAcuNOgSniAvDZ8,G Major
1160,spotify:track:42V6p9gnMM3u1224SbRw1r,E minor
1161,spotify:track:0XUhcLDad5F0IDo8EGRy3Y,E minor
1162,spotify:track:03fab4KvfwaqrP9u0h749Y,E Major
1163,spotify:track:2GNHFjd2Y6LiZLC3b89NGE,G Major
1165,spotify:track:3iYr2Er8E99eJSMr5PuM26,A minor
1167,spotify:track:2mAR7UMXOCGeDEzNfbOJaJ,C minor
1168,spotify:track:3O1hRNx1iCC0vglArG4Dyq,A minor
1170,spotify:track:0h4RbtMlTKFiKI7amQRenq,C minor
1171,spotify:track:1W8P4d7ayMmehIuU1ZGVh3,D Major
1172,spotify:track:79YyH4emfMjJ7FrhTOfFDq,A Major
1173,spotify:track:1Dq9ay18CwkUbhXCJKqYWI,F# minor
1174,spotify:track:3bJB0kclX8f1mu8z40cUH4,F# minor
1175,spotify:track:2d0i0rjCqoDGd2zWdSeDsj,D minor
1177,spotify:track:1KexD2PbkAM8pFQJnkxtm6,C# minor
1179,spotify:track:2pnDMXNlMno8x34uLqwMeK,D Major
1181,spotify:track:3DtRYH4NC56mfGimNbSn3i,D Major
1182,spotify:track:4lAdpf5MvzV60f0KDFLbVG,G Major
1183,spotify:track:3cYpWmFEwHHI91Shh1JW4I,E minor
1186,spotify:track:6m41pLiaTsqvzG8WWC6JdB,A minor
1187,spotify:track:7MDDDyme9h83oENlYjEUp9,A minor
1189,spotify:track:4gv151kZZj3uatAu84q9hY,F# minor
1190,spotify:track:5D6BnNkfoxvwYfqB13E180,E minor
1191,spotify:track:2CafQhzUio6n1mVNSWvC2g,F Major
1192,spotify:track:0JNRZLZJbSv7BuJSc6RZfh,C minor
1193,spotify:track:3rgoR037nWq1N0B00wNDDM,E Major
1194,spotify:track:7i54rREWtj3z8Ms8BeNcFK,A minor
1198,spotify:track:1mYstHvlx2Pd0ZHrpVckiM,D minor
1199,spotify:track:2O5nT5bi41cqq7ErT4KM3g,D Major
1219,spotify:track:4fa1TGCJdNQskVg0UP6p1d,C Major
1231,spotify:track:2GTvWWcrHrsjKggkezCCmy,E Major
1232,spotify:track:2Nu8XCUancFQinggaaD9V2,C# minor
1235,spotify:track:5yE29v8qkztZaJ5mE9mHQ3,F# Major
1275,spotify:track:3gAk4IZbGdr2YmBslQdNJ0,E minor
1277,spotify:track:76UhukPQbG8gjlsTeg1Qft,G# Major
1354,spotify:track:5uQcZUlQFMg3MbCpUi4Y0b,B minor
1381,spotify:track:3Unh9zfXlQa2OVd6JPY1Op,A minor
1417,spotify:track:2nrAMydekzt68Rszki16dE,E minor
1418,spotify:track:4BOdnUackadUro4cQ1q4gy,A minor
1419,spotify:track:0mfaSGzTztR5m7hLrrYmZo,E minor
1420,spotify:track:4FdqjQRYayGpGmGc27YSQo,E minor
1450,spotify:track:6TV1mBpsjUF70gkpihsAxe,D# Major
1451,spotify:track:2wGbaHYqSsrlTdBgBgRugh,A minor
1474,spotify:track:6HhkqHwYglCd9a69zNJJdl,B minor
1475,spotify:track:7gO1BO4BJn8V94ieg6uEEl,D# Major
1476,spotify:track:1tv6UgXB31qOUv366cV93M,G# minor
1499,spotify:track:7rR2AOSMSXK8T1fKzCT7Wl,C Major
1526,spotify:track:6KgoKzMAHBb9vHUcjfvyUv,Bb minor
1529,spotify:track:4ygIWxj6U6l6d2WUJW5DHr,C# minor
1530,spotify:track:68LXkrUsmFkky4fUcgkvye,C minor
1531,spotify:track:7EqWurqEgy3dgMRmqQcPJ3,F# Major
1534,spotify:track:1HrJTa4jyoat4k7lVqxlz8,E minor
1535,spotify:track:5yuJliu3kdnBipcJ50rnUs,C Major
1536,spotify:track:6t2gxX98roJ7j9JSmvsgV6,A minor
1540,spotify:track:0s58W4cscjzapRT2xlPzUw,A Major
1541,spotify:track:6D4pv6W8pJV08X8bCsnqtd,F# minor
1542,spotify:track:5ln76eBvnyNR7N7rJhe9Fu,A minor
1546,spotify:track:7EhhFnHeI9QkTIQJ0E0efb,A Major
1590,spotify:track:1gBXBWU4Bm5OEbR6tF7KGE,D Major
1592,spotify:track:1PbYVdNtaq5oTNDdgXltBo,D minor
1593,spotify:track:5CMa9JmJCyKy7outxWJKnR,C# minor
1595,spotify:track:3KBoZUFmx4rDjbb5pUBBUC,B minor
1596,spotify:track:2j6qZyPQ5y36vN9iwveU0o,B minor
1599,spotify:track:26tKvFnPjoPU2UBfUk5wz0,E Major
1601,spotify:track:6w3osuu13PDYinnXaKYosM,C# minor
1603,spotify:track:3X1A7hgXYCvcsjd1dfzhNq,D# minor
1604,spotify:track:68BqOLZhC3tBjm6Zw2YnN1,E minor
1605,spotify:track:0Ee3HAdUxziEICjdQFkYNJ,C minor
1610,spotify:track:3HqtR5iYbgGxmEbSbfLlVe,E minor
1611,spotify:track:2bql24JjpYb89gBIycTCtA,C Major
1612,spotify:track:0J6gSkyvyW9GlEvkPon1ij,E Major
1614,spotify:track:6PufUrRiBGoF17L5ADxdgn,D Major
1615,spotify:track:21lMlwxrgyP08f1lNm6tkc,C Major
1616,spotify:track:2YIYcZnl2XIcIlvQdYBoNE,A Major
1617,spotify:track:1B3tdXgf0WNC2xgD6DSbQS,A Major
1618,spotify:track:12IQeIogceJwApLFOqEkxJ,C Major
1619,spotify:track:3Q61BdCpuQvMzcrRAN0Ofw,A Major
1643,spotify:track:76zIL20cm7r8xaKHjozc61,E Major
1708,spotify:track:2GkbRqjbZl9eGq0tAiaPZU,G Major
1727,spotify:track:6S1P2wVNEkvzWsE68V33NH,D minor
1841,spotify:track:3lGEButGdpOhFUdkzoVhQO,C# Major
1844,spotify:track:1zni6u2ygdGvqIpL2oAml7,A minor
1886,spotify:track:08ortRPPZRvDrbV07n2wCz,E Major
1887,spotify:track:0edIm7M0QOWMX13zVU1MTU,C Major
1892,spotify:track:7riZ7RzIA7Qpue9tDJ7EAu,E minor
1893,spotify:track:2L2fF9tnHWF2R56FYxud3n,D minor
1894,spotify:track:3bmWYRQaoACfQFW8AWJmCx,A minor
1895,spotify:track:0BKYtKSWlwRsjVcDZ94hGf,A minor
1896,spotify:track:3bB12BNBnm4Wr2TxepNmaa,D Major
1898,spotify:track:5Qo4nkCcNZus4Ew1eRDzHw,C minor
1899,spotify:track:202sf3SA7tbq63785Oicfu,A minor
1900,spotify:track:7qsRaCi0dUS3FPhLXDr2EW,A Major
1901,spotify:track:6NFtcUmpo0WJs94Sxws77V,C Major
1913,spotify:track:5Efhgh1FXpQPZ9egrhXIc6,D Major
1914,spotify:track:2NOPehgylLRXf00AEalXZA,C Major
1920,spotify:track:23AuVZRNNeE8dkojBgzh64,G Major
1923,spotify:track:5IhkGxYV86xca6Id8Sd4m4,G Major
1940,spotify:track:1PYzkGDt9VR7BVFITG0w8K,E minor
1941,spotify:track:1a3RyUfauFLWjQJCcrO2hx,F minor
1942,spotify:track:5TREDJ150foJIp8ackekU5,F# minor
1944,spotify:track:2nCf2HGKhSXirPMGrcUlj6,E minor
2070,spotify:track:36xIvdBlh9NHwdJ6Vr6Rbo,Bb Major
2099,spotify:track:786cbmAVpQq7c4X2KiYjqf,G# Major
2126,spotify:track:69KutaqfIdez0nZIZWRzG9,A Major
2127,spotify:track:1RvoM8cBp8xCsjo3UQ5kfH,E minor
3429,spotify:track:7oyASymAyTMaB47yktTnXb,D Major
3465,spotify:track:7m0514zQf6rriFnuF7vgNj,A minor
3542,spotify:track:2ndyytMbBP9wO7ODlxCnHW,C Major
3545,spotify:track:1bzDW3wWEmCNlVzaAKLzx7,G# Major
3581,spotify:track:2T2TyHkJNeCbHDWTQdoa3R,E Major
3612,spotify:track:78au6XGYjVHTaPgdwfDFw3,Bb Major
3619,spotify:track:75i8D8DEllRAZrdc9jbCh5,Bb Major
3694,spotify:track:3z4sOYTGKzwnhDb8pbHSim,F Major
3700,spotify:track:60pnF4A2EoDzACo6HJiJLQ,D minor
3702,spotify:track:2cvOwLWXpy9Z34tQtUQ7Xr,E Major
3741,spotify:track:4HqRLaiCwgqlA0xaUjykFU,D Major
3853,spotify:track:18yCC5DD6R5z0SOZt5vOWD,D Major
3863,spotify:track:4uFn00BDEN9SFt1Ow93yBn,F minor
3941,spotify:track:76SjARoTSkDp3KVYm3xZYX,E Major
3956,spotify:track:0D8nUKAI08smaC0mtSrEDL,B minor
4195,spotify:track:3dwGvgQk3KI1f1PjWbIcGk,F Major
4198,spotify:track:1HfuOzKxFDVIs9XJCPUbj9,Bb Major
4203,spotify:track:0DCNO3oOkT7dfMBcdgd3qy,G# Major
4206,spotify:track:6JtBnG6giTUbAFdiDNXN0U,C# Major
4211,spotify:track:5VFReq2Sh6BSe34hOSdRKM,G# Major
4224,spotify:track:3efvPgb0mnl0gjfCqwlQVc,A minor
4345,spotify:track:3EYEwehGIDHusFP5SdFBXI,G Major
4350,spotify:track:4XadxjbJwfRpNzrLfQB8aI,D Major
4400,spotify:track:3P95oTiIe2CTAMma5FMHS2,A minor
4401,spotify:track:2gfMve2JNawVKtuyDL6sxK,E Major
4402,spotify:track:0z8eaVc2s8ZOgPHjr4nyJY,F# minor
4403,spotify:track:6yIb0yDWWpLbgvPZHfVkFy,E minor
4684,spotify:track:5Kh6VWMbeyuSEYVoJzVrH7,D Major
4686,spotify:track:2XEU3PtRICJsMfJ2xaDuJ0,G Major
4717,spotify:track:09bJuw36XWrsCWtxqNkEJQ,C Major
4776,spotify:track:2Jm44ZO6qtoB47EONLhs1B,A Major
4798,spotify:track:3xFUBDx8X7JbHxBCTRQfHn,D# minor
4856,spotify:track:216FqKNZJILABpZqrOfFFN,G Major
4858,spotify:track:75fxyQrekVfm4smpvjQL3L,Bb Major
4886,spotify:track:1QsBThO4Fn8xaOGLQS0gVB,F Major
4926,spotify:track:1BHW2sOB1MlLcdKlmdKoha,D Major
4928,spotify:track:1VYFYv6d9GeQgHiiw9k884,C Major
4929,spotify:track:7ssTjMFTX9DqJ9lMdim2v9,D Major
4971,spotify:track:3rnQqYpQD6WsOuzBn8mbUO,D Major
4989,spotify:track:6gpNIIepedFyCd3Wmy5dXs,G# minor
4994,spotify:track:0dtmgRnSrckT7IkmUv9ZV0,B minor
5007,spotify:track:4dcix5mRkku8Rqt8QE145o,C# Major
5012,spotify:track:57ANAGAiHMpw6sDy6RDepT,C# Major
5021,spotify:track:6SwQzZlWtIgxFGBEdORXGW,D Major
5023,spotify:track:00nxebpWsLC5ToRzBaUOfF,G Major
5049,spotify:track:7qhA4oKwWAnDHMGKXBgDfh,A Major
5050,spotify:track:5pMUSmp7dSyiYEnTWCIB2h,Bb Major
5051,spotify:track:0xNnUsIz4HQMmNoJ3CV8Co,G# Major
5052,spotify:track:144RYBouzN41R20CWFA3Mj,C Major
5054,spotify:track:60SvVvAE5I1aWn55Arq5S1,F Major
5055,spotify:track:5SUxrYUpDQnfXVeBOYLHm2,F Major
5056,spotify:track:6ZD3R9sCkj2PHwlrDF6WZJ,G# Major
5058,spotify:track:02mQUZTLfSeZmFtSKQIaGK,G# minor
5059,spotify:track:5mnGGUwds7Eu23oPoIl6Ym,C Major
5060,spotify:track:7jourqFY3efhT01nmS9BYh,G Major
5061,spotify:track:7dfY7QWU41stPnx73rx8z7,C minor
5064,spotify:track:22ZmesJKp8O504eEiAbCpT,D minor
5078,spotify:track:23Zml8pgs1fVibTlAiFxiu,E Major
5095,spotify:track:5t892hNOWjWT6SfEq8279G,C Major
5153,spotify:track:4fub8ejAhQ4Eq2tPkbZPLd,D# Major
5178,spotify:track:7xr9p7s9LjL05DOteGO1rY,F Major
5179,spotify:track:4ImzvXSsGPbEiwjvYEpuYb,D# Major
5181,spotify:track:3FhP7MJZ18PCfoftE21ulM,F Major
5192,spotify:track:4Mg8mElhCZMbOVZHkMlJvo,F Major
5195,spotify:track:5HUwI3vlAdu7BUoaIKF3up,G Major
5240,spotify:track:4nUhmoPhfRu8TQeZhk7z5m,E Major
5376,spotify:track:5Y74gwxIPsK0DQzwAZ5k9z,E minor
5562,spotify:track:0Bub64hGILrfaRsi5F83dU,A Major
5566,spotify:track:6PFFWjOhvC8EuxL6f9xcBK,A Major
5601,spotify:track:4O3MXpCqv1E6yyfmyK6Zkt,G Major
5619,spotify:track:50O6h4h6RXcvTZ1x8FIXHs,G Major
5990,spotify:track:0mVLRWaoqwnIqv0nKScMHd,C Major
6460,spotify:track:5cqQDoM0HjFJ2rSYEfn3Nk,B minor
6603,spotify:track:49zKm4MStLzfrNM1VcdImf,G minor
6607,spotify:track:4EA7uenf9RnASPaE8Mb5g5,A minor
6669,spotify:track:5qVDbtLSFMc5MstkmxvMfX,C Major
6670,spotify:track:5USge5iSTBzkgTJ9A3pqDF,C Major
7011,spotify:track:2E2LTKxr1oBJmO6dVTt72a,E Major
7012,spotify:track:7gcz4cZwMCQWhNxU1ACRbU,E minor
7014,spotify:track:0HGFp6RsNTJu0csZL0NHmP,G Major
7015,spotify:track:1tnpPMqFb5EPofj5JN2VBE,C Major
7179,spotify:track:4eucxUucMb0t8zJsyIO6dh,B minor
7202,spotify:track:6T1bqbiau5kTwk3z6YFHNH,G Major
7390,spotify:track:1wulF8VCRZbdvqe8ZYazGA,E minor
7391,spotify:track:4p50GUkKqwxq2nhHYDBRos,D Major
7456,spotify:track:7qJR9Buzv0ouKnVZB5AXQx,E Major
7477,spotify:track:0D3vvkpXzDc3VI1gG2tmg0,A Major
7481,spotify:track:1at9GRHSSIQ6E4gAeUbZnv,D# minor
7482,spotify:track:2pSqERI9lr4nqA0GxYz5eK,C# minor
7484,spotify:track:6avOO2N4vFcpqGZPT4tfE6,C minor
7487,spotify:track:53lIMW3FjAxjKBIMw1k7Ys,B Major
7488,spotify:track:2nKze6vtlcQ61LaaY7VpLF,F minor
7489,spotify:track:2XRYyeI30dy7O1AlJLbnzZ,D# minor
7490,spotify:track:41xmJwkueoFfljRRgL2mjF,F minor
7492,spotify:track:5M0L5roULQubcyWDPkOfcP,A minor
7528,spotify:track:11HlyfmUi4TADO3d5S6hRP,A minor
7529,spotify:track:4M99G3HTBu7119Rrf5N7EZ,G Major
7713,spotify:track:2aaDOaisK8wzmlKMlUk4L9,Bb Major
7827,spotify:track:1CNs90voOdkSEfE4rSjY5L,F Major
7893,spotify:track:7ifYGplf5p8EUlETZCgqkU,C Major
7896,spotify:track:5S1QrKB1stcGzclWffcVWw,A Major
7898,spotify:track:4YU4sQATtRpjbGQhtgreqJ,A minor
7901,spotify:track:0frRfa4mLlv7ToBAty4AjD,A Major
7934,spotify:track:3xh5baju1bihfTJxGXJ0UU,G minor
7995,spotify:track:3wEMYTxDkDxFVOspAAsuQi,E Major
8017,spotify:track:1E10GgPrSF33Rmr9fYYmAN,E Major
8283,spotify:track:4PgDjGgQTP6UBuvUtvKtse,E minor
8910,spotify:track:5nwJuSAR2lSmtle8SF8g5h,D# minor
8913,spotify:track:0FsxVHPwHuFcRUSGMg6VjS,D# minor
8914,spotify:track:670DUxx37T5HaYOgQn9N2e,E Major
8915,spotify:track:1g9W2lIHR1YBpnmelxCE1W,G# Major
9485,spotify:track:6dDQ4MZHahCRrypp9WE1Lo,C# Major
9486,spotify:track:2iXPlmBr0ngXARWZFIqQ8O,A Major
9487,spotify:track:08u9UuKlnRcMkFMvYjiKwO,F Major
9488,spotify:track:2A90XBmxaEMB9KeMsqcEZU,F Major
9489,spotify:track:0RV8J90I6tsajXyxBCch0Q,D# minor
9491,spotify:track:3FIvA7x6ZHVjQjAkw8sSfI,C minor
9494,spotify:track:4irR2Tn8yqKIEy9sUWnHU6,C minor
9510,spotify:track:0IF35g1hFyUUi6s30FCSa2,C# minor
9581,spotify:track:4X4wdlSFjlNwccFJXtvzYT,D# Major
9583,spotify:track:5nENQ6NCRrhD48avnXkear,G Major
9587,spotify:track:0BovrJlNSHcEu6JeDBGYUE,B minor
9655,spotify:track:0zHufbS79zHcqfRID2Ctni,G Major
9659,spotify:track:670MemeOwDqC970UDRXopK,C Major
9662,spotify:track:7IT3ira23c3b3W9TFg1IAR,G# Major
9663,spotify:track:5IuH5kVMO7Oljm5R2Cj7vJ,D# Major
9664,spotify:track:5pGedIRBkkeDpHqOMil6CZ,Bb Major
9665,spotify:track:43Q3DCYU7k5y1oTh9Df5df,C Major
9666,spotify:track:2f0kXoxAaQk1qfZ9kAb5HB,C Major
9695,spotify:track:1N15KmOPAxZhVocDDfvK4p,A minor
9699,spotify:track:2yKgeSvvMbJyZnyEFkklxh,C minor
9866,spotify:track:5H8okmcbOQ0RmsleNjEQD1,D Major
9867,spotify:track:05gwZA0u7jsxKAd7ZjSlgs,B minor
9904,spotify:track:2hOn70cDFLyY7Qox3OV67x,F minor
9905,spotify:track:5cYJh9ejQjuk44B6I6ZKf5,F# Major
9906,spotify:track:1zJQH2bFBCWbgq6JEF6Xgm,B Major
9907,spotify:track:3Jxjgt9VT8G62GCkstGrah,E Major
9913,spotify:track:5aAOFdyAGAkX7fXhxf1ciT,D# Major
9916,spotify:track:3sQ7pZQDgXA5RxcAklTY1z,A Major
9985,spotify:track:0gqGR7gQXhmL0EtLHxKyu6,G Major
9986,spotify:track:42GP7EH07xO0cYdRGft1NM,F Major
9987,spotify:track:4nsxTK5WpbwLRkuRJmR6mJ,B minor
9988,spotify:track:4KNNyWjbbH7ikafrhQm7dK,E Major
9989,spotify:track:3OTXXFK8GqzBZWSX91kG9m,B Major
9990,spotify:track:799DkBhHRSdf4AhRnvs93t,E minor
9999,spotify:track:5YDmQQVqxcYUhpqIj4i1i5,B minor
10000,spotify:track:10f2SjwzguzS7hDKZbYUIZ,F Major
10001,spotify:track:2yxU95Rl3pqQzPEJOp2057,B minor
10002,spotify:track:3gDM9cKonFsfGhQtHv75Ga,B minor
10003,spotify:track:5hLzYU0KqWMj08rOUAsNlF,G Major
10060,spotify:track:57iR723bcY71HRb7EEsGV7,E minor
10109,spotify:track:45aooCLSx3rQNDTRR4gYCT,F minor
10190,spotify:track:5ImtiAGLebmLSsSbOeKvSW,D Major
10194,spotify:track:2YBLq88R5vptgalkDDA7LP,D minor
10381,spotify:track:379ai3wdLTTfyKXpatSghN,Bb minor
10382,spotify:track:3irNmy2vmuyZTmCtPFQwgB,D# minor
10383,spotify:track:3zIZvzCNE4GCX4uUKPVfRW,E Major
10388,spotify:track:22XmUHpdXSGNa9U3FTodw9,C Major
10408,spotify:track:1PoeKNDEDSPqrWpF5veDsK,E minor
10412,spotify:track:2S53h0ANM8zpkx7eXzfOUB,A minor
10415,spotify:track:1T3Y7pMERueSLq2YdXqvI2,D Major
10433,spotify:track:5he4HXbMVhAjC7RYKrfFWk,C Major
10438,spotify:track:1wOoMvuw4chIy8HDSNYIgs,A Major
10439,spotify:track:6AGUt9Z8fWzhSxOGeOzxNj,D Major
10440,spotify:track:52oS1Gv3lpzHP2SNCR09av,G minor
10441,spotify:track:2CTONu6ZvQimE8UaB8081H,D# Major
10442,spotify:track:1DD4uj82HSgfVgA2sJ57EO,Bb minor
10443,spotify:track:73io3pCN5lWB3sM27In42f,C minor
10447,spotify:track:6iuEx2h5ZzZxeiQAVdT47s,G minor
10518,spotify:track:4ssBQlL98qEJH3cQucvdIm,E Major
10575,spotify:track:6Z0Ys3aZD6qPewi2KJi1Yk,E Major
10604,spotify:track:3x8Xj5A5WefJh2jgpU0UgZ,G# Major
10941,spotify:track:6Ml9zA4Ff33FVoy7DdNv1a,A minor
10992,spotify:track:38WcYSOtT8M3UxzCoJlpGg,E minor
11019,spotify:track:3vAUW8xWLMynvx7EZEOokN,G# minor
11135,spotify:track:1g7Cl0YsUMsgvuTVdaSXmT,F minor
11154,spotify:track:7Jq5l1zigijVdNow0e58YW,F minor
11156,spotify:track:7aiQfvgbNOL3xVYe7jEPQp,F minor
11205,spotify:track:5jSrK13DUh8Hm7hEZ8DfwJ,D minor
11304,spotify:track:7m3vaT9L3Q4DL3X7UAAaPX,D minor
11305,spotify:track:4if9QbmI0XWjFe480y6Leg,E minor
11306,spotify:track:6bveo2XMlESchVV0faD1oI,D Major
11307,spotify:track:2U8SD36Yu0iF7AxKtqdk1P,E minor
11308,spotify:track:7x4XOX1xvwLxRZL1N3kVkd,E Major
11309,spotify:track:7HvSapHVom2p7VslrENn6Z,D minor
11310,spotify:track:0SNjgnNByHStEdyzT2zV2D,A minor
11434,spotify:track:2XCaw1VzzGunFLPx4hALYy,Bb minor
11436,spotify:track:4vsmNwet4ltAx65b4cOR17,E minor
11438,spotify:track:7rZxrLojSh2F1Emy1ZDhUr,A Major
11444,spotify:track:3rBBLXAI1RXjNKiCE5lcOI,G minor
11472,spotify:track:2aBZZCCHuVOLmN2sbN4jtl,F Major
11477,spotify:track:6XIJAPOlQqkRliF6MyjdwU,G Major
11623,spotify:track:0Ostqu8NSAS3eS84BGwj7e,F minor
11657,spotify:track:5GRwg5Jsl9S3MyofTUPSUG,C Major
11938,spotify:track:36xnl3QyBru7sJpKYcudJX,Bb minor
11940,spotify:track:08OrVUVpbEigVOBZZrBhXK,F minor
11954,spotify:track:7m2NIq9gdyFCscQw9K8ZRI,E Major
11956,spotify:track:6amY3rIy5hxGaOt2O2DA0G,G Major
11960,spotify:track:3GwhHO1nHyHuTau5PwMyGL,G# Major
11999,spotify:track:3UMbZHPgeKYRHI2MrFBtjJ,Bb minor
12000,spotify:track:4YCFB9ha0q4GKaA0fueyM1,F# Major
12003,spotify:track:6zTmgafe1urVD8GtFpgMAh,D minor
12008,spotify:track:7KVNW9hgL3ALbp4cbv6V9J,B minor
12013,spotify:track:4Z8Q93PpgOWGxOxM11VjOR,B minor
12014,spotify:track:5w3PE8muImfyU9YNAyqsIH,E Major
12018,spotify:track:2JqmtUqUGvoNz1YWi0s5sw,C minor
12020,spotify:track:5x6ext9Iu8dOPCZ3eZ5NOt,G minor
12021,spotify:track:4ZevpcVmDezoGW6eAUAYPS,B minor
12100,spotify:track:2y7yTj0eLWijxHX8iSir5e,C Major
12105,spotify:track:0M6JCdc0nFIyfAaTT6QfxE,F minor
12131,spotify:track:4el572smZ6lmiRwzsTT699,A minor
12147,spotify:track:3y3iDX1E2u1Lz4CK9dbpOw,D minor
12176,spotify:track:7xtuq0wMEInhfIoO0ZZQwC,A minor
12189,spotify:track:3P5Ciocv8tySPsgXW2D7CK,F minor
12191,spotify:track:6u9rDpRuWql8ItwvsLCFlf,D# Major
12290,spotify:track:1e81rs4ugupTEMScH4Shz8,G# Major
12389,spotify:track:0Lh45X2vEps149SbxK9Mu8,Bb Major
12390,spotify:track:0YblQFcE6oOqUmFoVDq4pi,Bb minor
12491,spotify:track:5fMBfxdOmFX9iifq68rSoq,Bb Major
12492,spotify:track:1jxS9W0ZuT2Ss4EWTZuikD,F Major
12494,spotify:track:5lZGq5XO5KPx906LOasXb6,D minor
